sector,n_establishments,total_hours,total_cases,trir_sum_then_divide,trir_average_of_rates,overstatement,rank_sum_then_divide,rank_average_of_rates,places_moved_under_averaging
Public Administration,7877,1919417696.0,53883.0,5.614515288911872,5.20405621160251,-0.41045907730936193,1,5,4
Transportation and Warehousing,39658,8800714349.0,239852.0,5.450739348840556,6.442129582082104,0.9913902332415478,2,1,-1
"Arts, Entertainment, and Recreation",3687,992683053.0,22768.0,4.587164036132689,5.6357973335859155,1.0486332974532262,3,2,-1
Retail Trade,59108,8562892171.0,192744.0,4.50184344613768,4.4889232770102865,-0.012920169127393244,4,9,5
Accommodation and Food Services,17464,1815814372.0,40393.0,4.44902305245109,4.196600959371763,-0.2524220930793275,5,10,5
Health Care and Social Assistance,44947,15548005407.0,333819.0,4.294042756760407,5.398466961846326,1.1044242050859188,6,3,-3
"Agriculture, Forestry, Fishing and Hunting",4768,762891331.0,15811.0,4.14502022962429,4.834444792995574,0.6894245633712837,7,8,1
Wholesale Trade,29831,3459331311.0,60235.0,3.4824649381494295,3.613253444838968,0.13078850668953867,8,11,3
Real Estate and Rental and Leasing,11733,612463259.0,9973.0,3.2566851491739848,5.232019430636568,1.9753342814625836,9,4,-5
Educational Services,2904,1554891157.0,20855.0,2.682502875665914,5.091456527330836,2.408953651664922,10,7,-3
Administrative and Support and Waste Management and Remediation Services,28916,2890045422.0,37930.0,2.6248722398107693,3.184928765295787,0.5600565254850176,11,14,3
Manufacturing,58329,17521879652.0,222689.0,2.541839168203414,3.365886299364699,0.8240471311612851,12,12,0
Other Services (except Public Administration),6967,912069170.0,11180.0,2.4515684484763365,5.1407666458769485,2.689198197400612,13,6,-7
Utilities,7005,1148796605.0,11688.0,2.0348249549362136,2.8121805426576922,0.7773555877214786,14,16,2
Construction,36475,8273134408.0,64756.0,1.565452627903202,2.9322271529792627,1.3667745250760608,15,15,0
"Professional, Scientific, and Technical Services",4694,1042184165.0,6162.0,1.1825165276810745,3.2485777857078437,2.066061258026769,16,13,-3
Information,2442,677730205.0,3686.0,1.0877484795000394,2.7723296330236624,1.684581153523623,17,17,0
"Mining, Quarrying, and Oil and Gas Extraction",829,313841679.0,1080.0,0.6882451071771127,1.5315300160649945,0.8432849088878818,18,18,0
Finance and Insurance,833,299112551.0,843.0,0.563667420294911,1.2664073046492579,0.7027398843543469,19,19,0
Management of Companies and Enterprises,1529,709355832.0,1758.0,0.49566097033230566,0.8422409846454599,0.34658001431315427,20,20,0
ALL SECTORS (whole clean table),369996,77817253795.0,1352105.0,3.475077657101482,4.2758651443951,0.800787487293618,,,
