sector,n_establishments,largest_row_employees,largest_row_hours,largest_row_cases,largest_row_pct_of_sector_hours,trir,trir_excluding_largest_row,change_if_excluded
Finance and Insurance,833,18488,42660800.0,58,14.26,0.563667420294911,0.6122009281972108,0.04853350790229982
"Arts, Entertainment, and Recreation",3687,70303,107155934.0,2890,10.79,4.587164036132689,4.489529360195687,-0.09763467593700259
"Mining, Quarrying, and Oil and Gas Extraction",829,5354,18370394.0,39,5.85,0.6882451071771127,0.7046370005125879,0.016391893335475194
Educational Services,2904,44355,66272590.0,512,4.26,2.682502875665914,2.7331380181555938,0.05063514248967982
Real Estate and Rental and Leasing,11733,7523,23607796.0,81,3.85,3.2566851491739848,3.3597378717024826,0.10305272252849784
Management of Companies and Enterprises,1529,11177,22089120.0,24,3.11,0.49566097033230566,0.5046075911210436,0.008946620788737925
Health Care and Social Assistance,44947,123461,455430263.0,4,2.93,4.294042756760407,4.423565850294367,0.12952309353395997
Information,2442,9184,18367995.0,5,2.71,1.0877484795000394,1.1165335059162702,0.02878502641623082
"Professional, Scientific, and Technical Services",4694,12943,23980426.0,19,2.3,1.1825165276810745,1.2066347361939906,0.02411820851291613
Other Services (except Public Administration),6967,3513,14986681.0,288,1.64,2.4515684484763365,2.4283162660195456,-0.023252182456790838
Administrative and Support and Waste Management and Remediation Services,28916,18183,38638875.0,7,1.34,2.6248722398107693,2.659950405171038,0.03507816536026853
Public Administration,7877,11196,19511919.0,224,1.02,5.614515288911872,5.648595909290717,0.03408062037884463
Utilities,7005,6218,11087426.0,171,0.97,2.0348249549362136,2.0245947229015018,-0.01023023203471185
Accommodation and Food Services,17464,7352,12392299.0,297,0.68,4.44902305245109,4.446657341095991,-0.0023657113550994424
"Agriculture, Forestry, Fishing and Hunting",4768,2356,4730000.0,92,0.62,4.14502022962429,4.146610848450144,0.0015906188258538734
Transportation and Warehousing,39658,23185,46369051.0,1170,0.53,5.450739348840556,5.452880640989311,0.002141292148754914
Wholesale Trade,29831,7787,15132917.0,98,0.44,3.4824649381494295,3.4920752593556896,0.009610321206260153
Manufacturing,58329,32992,65696150.0,888,0.37,2.541839168203414,2.541231306082314,-0.0006078621210998669
Retail Trade,59108,20172,26633178.0,330,0.31,4.50184344613768,4.508157499855277,0.00631405371759719
Construction,36475,10126,21063390.0,16,0.25,1.565452627903202,1.569060660258123,0.0036080323549210203
