state,n_establishments,employees,total_hours,total_cases,deaths,trir,dart,rank_by_rate,note
AE,1,40.0,62304.0,4.0,0.0,12.840267077555213,6.420133538777606,1,insufficient n
ME,1843,155920.0,254360941.0,7939.0,2.0,6.242310606957536,4.170451626061566,2,
PW,2,4189.0,8097408.0,226.0,0.0,5.582033164192788,3.5319944357503044,3,insufficient n
MH,1,218.0,402612.0,11.0,0.0,5.464318003437553,3.974049457045493,4,insufficient n
MT,1194,87188.0,147191023.0,3830.0,0.0,5.204121721472104,3.100732576605572,5,
VT,731,65186.0,105729983.0,2716.0,0.0,5.137615504960404,3.0871091694018338,6,
WA,8550,1008605.0,1687002125.0,41121.0,6.0,4.875038316860449,3.3892073491015906,7,
ID,2318,204872.0,352559974.0,8080.0,1.0,4.58361731102238,2.786476266304694,8,
OR,6157,603775.0,1001659890.0,22727.0,9.0,4.537867638884891,3.044546387896195,9,
CT,4797,595672.0,945830968.0,21202.0,5.0,4.483253502437657,2.9582452834215087,10,
SD,1355,118127.0,197942699.0,4363.0,2.0,4.408346478088591,2.2228655172575977,11,
NV,3546,489408.0,827567862.0,18186.0,9.0,4.395047423917484,2.962657339151239,12,
NH,1860,190937.0,317082282.0,6790.0,0.0,4.282800008358714,2.4712828325109633,13,
HI,1955,151895.0,218807655.0,4667.0,1.0,4.265847097534134,3.157110750992693,14,
DC,796,77555.0,124731744.0,2582.0,1.0,4.1400848207494,2.3490411550727615,15,
MD,5164,625402.0,1032265889.0,21203.0,11.0,4.108050111108534,2.7345667720693227,16,
RI,1076,145770.0,245472224.0,5012.0,1.0,4.083557738899208,2.7278035334865423,17,
CO,6732,807128.0,1155481607.0,23564.0,15.0,4.078645623997371,2.6101670348786437,18,
WY,667,45134.0,78841646.0,1602.0,1.0,4.063842096853229,2.3287185049383674,19,
AK,1707,107789.0,186312996.0,3652.0,3.0,3.920284766393859,2.3648377164199537,20,
WV,1691,183786.0,311358869.0,6093.0,2.0,3.9138117501319676,2.1049665362190146,21,
IL,15914,2128921.0,3512351621.0,67940.0,21.0,3.868633174070245,2.5002052606281473,22,
PA,15325,1924717.0,3210294819.0,60573.0,29.0,3.7736721027303255,2.3661378248014424,23,
IA,5671,558796.0,954471469.0,17864.0,10.0,3.7432234655931866,2.1444328787998588,24,
NY,15217,2083841.0,3333989595.0,62246.0,28.0,3.734024850788414,2.3788916473808013,25,
KY,5925,684820.0,1182658207.0,22035.0,19.0,3.7263513447211887,2.1869378529582217,26,
MO,7154,872903.0,1423062381.0,26271.0,8.0,3.6921782700121843,2.231525506119046,27,
ND,1313,109180.0,189415474.0,3493.0,1.0,3.688188642919427,1.6830726300640042,28,
AZ,7848,937082.0,1571848358.0,28861.0,18.0,3.6722371917253356,2.3260513531038725,29,
CA,40320,5987369.0,9995102952.0,181737.0,76.0,3.636520821701687,2.4469582872186506,30,
NE,2616,266519.0,463929124.0,8276.0,7.0,3.5677863586766327,2.026602667005661,31,
WI,8874,933867.0,1628022358.0,28989.0,12.0,3.561253303131848,2.1358429034547695,32,
MN,12103,1329445.0,2183483166.0,38792.0,11.0,3.5532218067029513,2.005419628685152,33,
KS,3703,389229.0,691394070.0,12170.0,10.0,3.5204235986577093,2.163165790531006,34,
MA,6700,948800.0,1539018740.0,26862.0,14.0,3.490795700122534,2.2604013255874973,35,
FL,19615,2521371.0,4200588093.0,73225.0,42.0,3.4864165863834438,2.265635141864885,36,
MI,12717,1650820.0,2818601148.0,48038.0,29.0,3.4086412001986455,2.065989366438731,37,
VA,9261,1139745.0,1894230907.0,32214.0,12.0,3.401274879525551,2.1331084742985875,38,
OK,3658,373566.0,671888639.0,11263.0,11.0,3.352638918486014,2.060162830048984,39,
PR,1581,161975.0,268801165.0,4497.0,2.0,3.3459676411744717,2.3898705944968652,40,
IN,9189,1203398.0,2090714761.0,34476.0,22.0,3.2980108662465217,1.97281813709833,41,
NM,1806,154180.0,267068731.0,4360.0,2.0,3.265077108558995,2.0249469040237438,42,
SC,5846,734516.0,1243581121.0,20220.0,18.0,3.251898836119433,2.0254408477788397,43,
VI,67,3921.0,6479916.0,105.0,1.0,3.2407827508875116,1.9136050529050068,44,
UT,3340,482424.0,794033544.0,12647.0,8.0,3.185507739708286,1.8190667269845215,45,
NC,13132,1466958.0,2492416297.0,39401.0,35.0,3.1616708691421302,1.93402683404136,46,
DE,1085,130148.0,213813430.0,3343.0,1.0,3.1270252761952326,2.131765062652987,47,
GA,11040,1452779.0,2497760296.0,38912.0,25.0,3.1157513442995333,1.952228966009635,48,
NJ,7409,1268210.0,2191474940.0,33469.0,15.0,3.054472527986106,2.002760752536828,49,
OH,15828,1926947.0,3305382069.0,48459.0,33.0,2.9321269970258315,1.6730289825989857,50,
AA,2,471.0,822598.0,12.0,0.0,2.917585503490162,2.1881891276176213,51,insufficient n
AL,5354,580013.0,1067925813.0,15437.0,19.0,2.891024790689276,1.8175419831339914,52,
AR,3367,369996.0,665097889.0,9180.0,9.0,2.7604959064905406,1.494216139362908,53,
TX,29059,3477934.0,6234710283.0,85674.0,72.0,2.7482912953823937,1.8069163583619239,54,
MS,2830,321772.0,580559531.0,7956.0,11.0,2.7408041984242266,1.6625340700848816,55,
TN,8178,1361777.0,2254841296.0,28644.0,30.0,2.540666613726947,1.6079180412526914,56,
MP,13,789.0,1558559.0,17.0,0.0,2.181502272291264,1.5398839569114804,57,insufficient n
LA,4705,547927.0,958846205.0,8746.0,15.0,1.8242758753996424,0.9467628857122087,58,
GU,82,9267.0,17865926.0,129.0,0.0,1.4440897158087411,0.7164476109438715,59,
AS,5,177.0,377148.0,2.0,0.0,1.0605915979933607,1.0605915979933607,60,insufficient n
FM,1,4.0,8455.0,0.0,0.0,0.0,0.0,61,insufficient n
