state,n_establishments,employees,total_hours,total_cases,deaths,trir,dart,rank_by_rate,note
ME,1843,155920.0,254360941.0,7939.0,2.0,6.242310606957536,4.170451626061566,2,
MT,1194,87188.0,147191023.0,3830.0,0.0,5.204121721472104,3.100732576605572,5,
VT,731,65186.0,105729983.0,2716.0,0.0,5.137615504960404,3.0871091694018338,6,
WA,8550,1008605.0,1687002125.0,41121.0,6.0,4.875038316860449,3.3892073491015906,7,
ID,2318,204872.0,352559974.0,8080.0,1.0,4.58361731102238,2.786476266304694,8,
OR,6157,603775.0,1001659890.0,22727.0,9.0,4.537867638884891,3.044546387896195,9,
CT,4797,595672.0,945830968.0,21202.0,5.0,4.483253502437657,2.9582452834215087,10,
SD,1355,118127.0,197942699.0,4363.0,2.0,4.408346478088591,2.2228655172575977,11,
NV,3546,489408.0,827567862.0,18186.0,9.0,4.395047423917484,2.962657339151239,12,
NH,1860,190937.0,317082282.0,6790.0,0.0,4.282800008358714,2.4712828325109633,13,
